ano;regionalizacao;tributo;modalidade;setor_programa_beneficiario;valor
2025;POUSO ALEGRE;ICMS;Crédito Presumido(1 e 2);"Comércio; reparação de veículos automotores e motocicletas";26591048,39757247
2025;UBERABA;ICMS;Crédito Presumido(1 e 2);Indústria de Transformação;455099,9423976175
2025;Contribuintes Não inscritos;IPVA;Isenção;Sem cnae;3348856,8281873385
2024;BELO HORIZONTE;ICMS;Crédito Presumido(1,2 e 3);Indústria de Transformação;2940044,0
2024;DIVINÓPOLIS;ICMS;Crédito Presumido(1,2 e 3);Indústria de Transformação;1260703,0
2024;POUSO ALEGRE;ICMS;Crédito Presumido(1,2 e 3);"Comércio; reparação de veículos automotores e motocicletas";813898,0
2024;POUSO ALEGRE;ICMS;Crédito Presumido(1,2 e 3);Indústria de Transformação;3086775,0
2023;BELO HORIZONTE;ICMS;Crédito Presumido(1 e 2);"Comércio; reparação de veículos automotores e motocicletas";2951145,0
2023;BELO HORIZONTE;ICMS;Crédito Presumido(1 e 2);Indústria de Transformação;1032,0
2023;POUSO ALEGRE;ICMS;Crédito Presumido(1 e 2);"Comércio; reparação de veículos automotores e motocicletas";987678,0
2023;POUSO ALEGRE;ICMS;Crédito Presumido(1 e 2);Indústria de Transformação;2244486,0
2023;UBERLÂNDIA;ICMS;Crédito Presumido(1 e 2);Indústria de Transformação;381004,0
2023;Contribuintes Não Inscritos;IPVA;Isenção(3);Pessoa Física;2257009,0
2022;BARBACENA;ICMS(1);REFIS 2021 - Lei 23.801/2021;;17412839,0
2022;BARBACENA;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;4172,0
2022;BELO HORIZONTE;ICMS(1);REFIS 2021 - Lei 23.801/2021;;227138561,0
2022;BELO HORIZONTE;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;79184,0
2022;BELO HORIZONTE;ITCD(1);REFIS 2021 - Decreto nº 48.266/2021;;7336,0
2022;DIVINÓPOLIS;ICMS(1);REFIS 2021 - Lei 23.801/2021;;118471991,0
2022;DIVINÓPOLIS;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;6244,0
2022;DIVINÓPOLIS;ITCD(1);REFIS 2021 - Decreto nº 48.266/2021;;837,0
2022;GOVERNADOR VALADARES;ICMS(1);REFIS 2021 - Lei 23.801/2021;;7883838,0
2022;GOVERNADOR VALADARES;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;3573,0
2022;IPATINGA;ICMS(1);REFIS 2021 - Lei 23.801/2021;;11419912,0
2022;IPATINGA;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;5375,0
2022;JUÍZ DE FORA;ICMS(1);REFIS 2021 - Lei 23.801/2021;;28725098,0
2022;JUÍZ DE FORA;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;16477,0
2022;JUÍZ DE FORA;ITCD(1);REFIS 2021 - Decreto nº 48.266/2021;;630,0
2022;MONTES CLAROS;ICMS;Crédito Presumido;Indústria de Transformação;75289,0
2022;MONTES CLAROS;ICMS;REFIS 2021 - Lei 23.801/2021;;16731525,0
2022;MONTES CLAROS;IPVA;REFIS 2021 - Decreto nº 48.233/2021;;15183,0
2022;PATOS DE MINAS;ICMS(1);REFIS 2021 - Lei 23.801/2021;;9965643,0
2022;PATOS DE MINAS;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;5214,0
2022;PATOS DE MINAS;TOTAL;;;9970857,0
2022;POUSO ALEGRE;ICMS;Crédito Presumido;Indústria de Transformação;6965124,0
2022;POUSO ALEGRE;ICMS;Crédito Presumido;"Comércio; reparação de veículos automotores e motocicletas";13828549,0
2022;POUSO ALEGRE;ICMS;Redução de Base de Cálculo;Indústria de Transformação;84573,0
2022;POUSO ALEGRE;ICMS;REFIS 2021 - Lei 23.801/2021(1);;21957750,0
2022;POUSO ALEGRE;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;8409,0
2022;TEÓFILO OTONI;ICMS(1);REFIS 2021 - Lei 23.801/2021;;6902986,0
2022;TEÓFILO OTONI;IPVA(1);REFIS 2021 - Decreto nº 48.233/2021;;6993,0
2022;TEÓFILO OTONI;ITCD(1);REFIS 2021 - Decreto nº 48.266/2021;;2530,0
2022;UBERABA;ICMS;Crédito Presumido;Indústria de Transformação;17126615,0
2022;UBERABA;ICMS;REFIS 2021 - Lei 23.801/2021;;22066430,0
2022;UBERABA;IPVA;REFIS 2021 - Decreto nº 48.233/2021;;10003,0
2022;UBERABA;ITCD;REFIS 2021 - Decreto nº 48.266/2021;;834,0
2022;UBERLÂNDIA;ICMS(1);REFIS 2021 - Lei 23.801/2021;;26812113,0
