ano;tipo;regionalizacao;icms_isencao;icms_reducao_base_calculo;icms_reducao_aliquota;icms_credito_presumido;icms_incentivo_cultura_esporte;icms_suframa;icms_anistia;ipva_isencao;ipva_reducao_aliquota;anistia_itcd;anistia_taxa
2025;PRE-EXISTENTES;Barbacena;66863912,0;21836,0;;195422978,0;2032982,0;;19355847,0;;1084236,0;122430,0;50434,0
2025;PRE-EXISTENTES;Belo Horizonte;222083075,0;136201401,0;2001731,0;6017632097,0;116787627,0;7668463,0;284159654,0;;3810866064,0;2651062,0;1968491,0
2025;PRE-EXISTENTES;Divinópolis;48790,0;103713813,0;;838489375,0;1992605,0;18022,0;64932602,0;;20625652,0;213704,0;132357,0
2025;PRE-EXISTENTES;Governador Valadares;;5575080,0;;96513205,0;8540,0;0,0;18348775,0;;4133455,0;53946,0;1270,0
2025;PRE-EXISTENTES;Ipatinga;32230905,0;335014,0;;599604954,0;3605746,0;158840,0;28823085,0;;23708809,0;135348,0;21520,0
2025;PRE-EXISTENTES;Juíz de Fora;791242,0;370922,0;;810871554,0;9703838,0;40598,0;54695594,0;;8831272,0;160094,0;13573,0
2025;PRE-EXISTENTES;Montes Claros;412140,0;976917,0;;273260680,0;495151,0;0,0;20043481,0;;4322454,0;110518,0;2041,0
2025;PRE-EXISTENTES;Patos de Minas;;25416086,0;;189253991,0;65624,0;0,0;32520889,0;;3610612,0;248961,0;0,0
2025;PRE-EXISTENTES;Pouso Alegre;1670065,0;284226,0;;4631582591,0;2683559,0;0,0;53112391,0;;12027875,0;159691,0;0,0
2025;PRE-EXISTENTES;Teófilo Otoni;;;;60208032,0;16012,0;0,0;13030386,0;;3292090,0;71318,0;596,0
2025;PRE-EXISTENTES;Uberaba;32717,0;540926,0;;943448160,0;1558689,0;0,0;68174858,0;;10739986,0;346401,0;5559,0
2025;PRE-EXISTENTES;Uberlândia;30556,0;51969477,0;;1041216868,0;4404679,0;0,0;48292411,0;;12506535,0;408098,0;2349,0
2025;PRE-EXISTENTES;Varginha;377967,163;165992,0;;1223121608,0;788532,0;12383,0;46769686,0;;10281421,0;231979,0;1020,0
2025;PRE-EXISTENTES;Contribuintes Não inscritos;60527622,0;;;;;;10250999,0;201722838,0;;;
2024;PRE-EXISTENTES;Barbacena;74837512,0;4398090,0;;357509869,0;9986153,0;;10962289,0;;671704,0;20275,0;4641,0
2024;PRE-EXISTENTES;Belo Horizonte;118377731,0;360311824,0;1899874,0;4192019706,0;85737225,0;7004345,0;91528260,0;;2634739970,0;2262590,0;2038214,0
2024;PRE-EXISTENTES;Divinópolis;141200,0;109107652,0;;559956624,0;3875525,0;479482,0;14248902,0;;15938291,0;55669,0;14520,0
